"upm","viv_sel","hogar","n_ren","llave_mig","llave_per","llave_hog","llave_viv","ent","tam_loc","p4_4","p4_5","p4_5c","p4_6","p4_7","p4_7c","p4_8","p4_9","p4_9c","p4_10_1","p4_10_2","p4_11","p4_11c","p4_12","p4_12c","p4_13","p4_14","p4_14c","p4_15","p4_15c","p4_16","p4_16c","p4_17","p4_17c","p4_18_1","p4_18_2","p4_19","p4_19c","p4_20_1","p4_20_2","fac_hog","t_loc_ur","t_loc_ag1","p4_8_ag1","p4_8_ag2","doc_mig","cond_resid","tpo_mig","tpo_mig_ag","estrato","est_dis","upm_dis"
"1408502","03","1","02","140850203102","","1408502031","140850203","14","1","1","1","014","2","3","301","024","2","032","08","2021","1","221","7","12","3","1","01","1","221","7","12","","","","","","","","",618,"1","1","5","2","1","2","","","3","253","06669"
"1409700","04","1","01","140970004101","","1409700041","140970004","14","2","1","1","014","1","2","201","022","1","014","04","2023","1","221","1","01","2","2","02","1","221","1","01","","","","","","","","",543,"1","1","5","2","1","2","","","2","266","06718"
"1409700","10","1","01","140970010101","","1409700101","140970010","14","2","1","1","014","1","2","201","046","1","014","07","2020","1","221","1","01","3","1","01","1","221","1","01","","","","","","","","",543,"1","1","10","3","1","2","","","2","266","06718"
"1409808","07","1","01","140980807101","","1409808071","140980807","14","2","1","1","014","1","2","201","028","1","014","10","2021","1","221","1","01","7","2","02","1","221","1","01","","","","","","","","",854,"1","1","6","2","2","2","","","2","266","06722"
"1409938","20","1","01","140993820101","140993820101","1409938201","140993820","14","2","1","1","014","1","1","101","060","1","014","01","2023","1","221","7","48","2","9","12","2","260","","","7","048","08","2023","9","99","1","01",771,"1","1","13","4","1","1","07","1","2","266","06724"
"1410072","20","1","01","141007220101","","1410072201","141007220","14","2","1","1","014","2","3","301","023","1","014","02","2020","2","402","","","","2","02","3","402","","","","","","","","","","",933,"1","1","5","2","","2","","","3","265","06725"
"1410133","08","1","01","141013308101","141013308101","1410133081","141013308","14","2","1","1","014","1","1","101","048","1","014","09","2018","2","213","","","","1","01","2","260","","","8","213","10","2019","3","03","1","01",538,"1","1","10","3","","1","13","2","2","264","06727"
"1410133","08","1","02","141013308102","141013308103","1410133081","141013308","14","2","1","1","014","1","3","301","027","1","014","01","2023","2","213","","","","2","02","2","260","","","8","213","07","2023","9","09","1","03",538,"1","1","6","2","","1","06","1","2","264","06727"
"1410259","09","1","01","141025909101","","1410259091","141025909","14","2","1","3","221","2","3","301","017","1","014","08","2023","1","221","1","01","5","3","03","1","221","1","01","","","","","","","","",712,"1","1","4","1","1","2","","","3","267","06729"
"1410933","07","1","01","141093307101","","1410933071","141093307","14","2","1","1","014","2","8","999","064","1","014","01","2023","1","221","1","01","3","3","03","2","260","","","1","001","02","2023","3","03","2","",588,"1","1","13","4","1","1","01","1","2","266","06736"
"1411101","14","1","01","141110114101","","1411101141","141110114","14","2","1","3","221","2","2","201","025","1","014","08","2023","1","221","1","01","5","9","09","1","221","1","01","","","","","","","","",681,"1","1","6","2","1","2","","","2","266","06738"
"1411201","05","1","01","141120105101","141120105101","1411201051","141120105","14","2","1","1","014","1","1","101","057","1","014","03","2022","1","221","7","12","3","3","03","2","260","","","7","012","05","2022","3","03","1","01",667,"1","1","12","3","1","1","02","1","3","267","06741"
"1411643","03","1","01","141164303101","","1411643031","141164303","14","2","1","3","221","1","3","301","033","1","014","12","2022","1","221","1","01","5","4","04","1","221","1","01","","","","","","","","",662,"1","1","7","3","1","2","","","2","256","06747"
"1411643","03","1","02","141164303102","","1411643031","141164303","14","2","1","3","221","1","3","301","029","1","014","06","2022","1","221","1","01","5","1","01","1","221","1","01","","","","","","","","",662,"1","1","6","2","1","2","","","2","256","06747"
"1411707","03","1","01","141170703101","","1411707031","141170703","14","2","1","1","014","1","1","101","033","1","014","08","2023","1","221","7","09","2","2","02","1","221","7","09","","","","","","","","",512,"1","1","7","3","1","2","","","2","256","06751"
"1411754","14","1","01","141175414101","141175414103","1411754141","141175414","14","2","1","1","014","1","3","301","016","1","014","02","2019","1","221","2","02","3","3","03","2","260","","","2","002","04","2019","3","03","1","03",467,"1","1","4","1","1","1","02","1","3","267","06754"
"1412253","09","1","01","141225309101","","1412253091","141225309","14","2","1","3","221","1","8","501","030","1","014","99","2021","1","221","7","32","7","1","01","1","221","7","32","","","","","","","","",714,"1","1","7","3","2","2","","","2","266","06771"
"1412253","19","1","01","141225319101","","1412253191","141225319","14","2","1","2","016","1","1","101","044","1","014","03","2023","1","221","7","33","2","2","02","1","221","7","33","","","","","","","","",714,"1","1","9","3","1","2","","","2","266","06771"
"1412295","03","1","01","141229503101","","1412295031","141229503","14","2","1","1","014","1","3","301","021","1","014","04","2019","1","221","1","01","1","4","04","1","221","1","01","","","","","","","","",590,"1","1","5","2","1","2","","","2","266","06772"
"1412295","06","1","01","141229506101","","1412295061","141229506","14","2","1","1","014","2","2","201","060","1","014","07","2023","1","221","1","01","9","2","02","1","221","1","01","","","","","","","","",590,"1","1","13","4","9","2","","","2","266","06772"
"1412295","17","1","01","141229517101","141229517102","1412295171","141229517","14","2","1","2","009","2","3","301","060","1","014","10","2022","1","221","7","48","3","4","04","2","260","","","7","048","04","2023","3","03","1","02",590,"1","1","13","4","1","1","06","1","2","266","06772"
"1412530","17","1","01","141253017101","","1412530171","141253017","14","3","1","1","014","1","3","301","026","1","014","06","2019","1","221","1","01","3","9","09","1","221","1","01","","","","","","","","",606,"1","2","6","2","1","2","","","2","268","06775"
"1412882","11","1","01","141288211101","141288211103","1412882111","141288211","14","3","1","1","014","1","3","301","035","1","014","99","2022","1","221","1","01","2","2","02","2","260","","","1","001","01","2023","3","03","1","03",563,"1","2","8","3","1","1","07","1","3","269","06781"
"1413223","05","1","01","141322305101","","1413223051","141322305","14","3","1","1","014","1","3","301","023","1","014","05","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",810,"1","2","5","2","1","2","","","2","268","06786"
"1413223","09","1","01","141322309101","","1413223091","141322309","14","3","1","1","014","2","3","301","999","1","014","99","2021","1","221","2","02","9","3","03","1","221","2","02","","","","","","","","",810,"1","2","19","9","9","2","","","2","268","06786"
"1413260","06","1","01","141326006101","","1413260061","141326006","14","3","1","2","011","2","3","301","032","1","014","12","2019","2","405","","","","2","02","3","405","","","","","","","","","","",652,"1","2","7","3","","2","","","2","270","06788"
"1413492","02","1","01","141349202101","","1413492021","141349202","14","3","1","1","014","1","2","201","022","1","014","10","2021","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",775,"1","2","5","2","2","2","","","2","268","06789"
"1413492","03","1","01","141349203101","","1413492031","141349203","14","3","1","3","221","1","1","101","028","1","014","05","2022","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",775,"1","2","6","2","2","2","","","2","268","06789"
"1413492","09","1","01","141349209101","","1413492091","141349209","14","3","1","1","014","1","2","201","028","1","014","04","2021","1","221","3","06","7","1","01","1","221","3","06","","","","","","","","",775,"1","2","6","2","2","2","","","2","268","06789"
"1413492","20","1","01","141349220101","","1413492201","141349220","14","3","1","1","014","1","3","301","023","1","014","02","2021","1","221","7","34","7","1","01","1","221","7","34","","","","","","","","",775,"1","2","5","2","2","2","","","2","268","06789"
"1413493","06","1","01","141349306101","","1413493061","141349306","14","3","1","1","014","1","3","301","027","1","014","09","2022","1","221","7","99","7","1","01","3","998","","","","","","","","","","",717,"1","2","6","2","2","2","","","2","268","06790"
"1413549","06","1","01","141354906101","141354906101","1413549061","141354906","14","3","1","1","014","1","1","101","072","1","014","03","2022","1","221","7","39","3","3","03","2","260","","","8","998","04","2023","3","03","1","01",645,"1","2","15","4","1","1","13","2","2","268","06792"
"1413549","06","1","02","141354906102","141354906102","1413549061","141354906","14","3","1","1","014","2","2","201","070","1","014","03","2022","1","221","7","39","3","3","03","2","260","","","8","998","04","2023","3","03","1","02",645,"1","2","15","4","1","1","13","2","2","268","06792"
"1413549","09","1","01","141354909101","","1413549091","141354909","14","3","1","1","014","1","3","301","032","1","014","02","2021","1","221","2","02","2","2","02","2","260","","","2","002","01","2023","3","03","2","",645,"1","2","7","3","1","1","23","2","2","268","06792"
"1413977","01","1","01","141397701101","","1413977011","141397701","14","3","1","1","014","2","2","201","048","1","014","07","2023","1","221","7","34","3","3","03","1","221","7","34","","","","","","","","",517,"1","2","10","3","1","2","","","2","268","06796"
"1414714","17","1","01","141471417101","141471417101","1414714171","141471417","14","3","1","1","014","1","1","101","018","1","014","07","2023","2","213","","","","2","02","2","260","","","8","213","08","2023","2","02","1","01",676,"1","2","4","2","","1","01","1","2","270","06804"
"1460145","01","1","01","146014501101","","1460145011","146014501","14","4","1","1","014","1","3","301","031","1","014","04","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",943,"2","2","7","3","1","2","","","2","273","06811"
"1460145","01","1","02","146014501102","","1460145011","146014501","14","4","1","1","014","1","3","301","027","1","014","04","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",943,"2","2","6","2","1","2","","","2","273","06811"
"1460145","03","1","01","146014503101","146014503104","1460145031","146014503","14","4","1","1","014","2","8","403","051","1","014","01","2022","1","221","1","01","1","9","09","2","260","","","1","001","05","2023","3","03","1","04",943,"2","2","11","3","1","1","16","2","2","273","06811"
"1460145","05","1","01","146014505101","","1460145051","146014505","14","4","1","1","014","1","5","418","029","1","014","04","2023","1","221","7","48","2","2","02","1","221","7","48","","","","","","","","",943,"2","2","6","2","1","2","","","2","273","06811"
"1460145","12","1","01","146014512101","","1460145121","146014512","14","4","1","1","014","2","3","301","018","1","014","08","2023","1","221","1","01","5","1","01","1","221","1","01","","","","","","","","",943,"2","2","4","2","1","2","","","2","273","06811"
"1460145","12","1","02","146014512102","","1460145121","146014512","14","4","1","1","014","1","3","301","017","1","014","08","2023","1","221","1","01","1","1","01","1","221","1","01","","","","","","","","",943,"2","2","4","1","1","2","","","2","273","06811"
"1460155","14","1","01","146015514101","","1460155141","146015514","14","4","1","1","014","1","3","301","035","1","014","10","2021","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",934,"2","2","8","3","2","2","","","2","273","06812"
"1460155","14","1","02","146015514102","","1460155141","146015514","14","4","1","1","014","1","5","418","037","1","014","10","2021","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",934,"2","2","8","3","2","2","","","2","273","06812"
"1460155","18","1","01","146015518101","","1460155181","146015518","14","4","1","2","001","2","3","301","023","1","014","12","2021","1","221","3","06","2","2","02","1","221","7","46","","","","","","","","",934,"2","2","5","2","1","2","","","2","273","06812"
"1460155","18","1","02","146015518102","","1460155181","146015518","14","4","1","1","014","1","3","301","015","1","014","01","2022","1","221","2","02","7","1","01","1","221","2","02","","","","","","","","",934,"2","2","4","1","2","2","","","2","273","06812"
"1460175","10","1","01","146017510101","","1460175101","146017510","14","4","1","1","014","2","2","201","062","1","014","08","2023","1","221","1","01","1","3","03","1","221","1","01","","","","","","","","",803,"2","2","13","4","1","2","","","2","273","06813"
"1460219","13","1","01","146021913101","","1460219131","146021913","14","4","1","1","014","2","3","301","042","1","014","05","2022","1","221","7","48","6","2","02","1","221","7","48","","","","","","","","",695,"2","2","9","3","1","2","","","2","273","06816"
"1460345","06","1","01","146034506101","146034506102","1460345061","146034506","14","4","1","1","014","1","2","201","032","1","014","02","2022","2","213","","","","2","02","2","260","","","8","213","01","2023","2","02","1","02",1092,"2","2","7","3","","1","11","1","2","273","06819"
"1460360","05","1","01","146036005101","","1460360051","146036005","14","4","1","1","014","1","2","201","036","1","014","06","2021","1","221","1","01","7","1","01","1","221","1","01","","","","","","","","",803,"2","2","8","3","2","2","","","2","273","06820"
