anio,pais_origen,iso_origen,pais_destino,f_0_4,f_5_11,f_12_17,f_18_59,f_60,f_total,m_0_4,m_5_11,m_12_17,m_18_59,m_60,m_total,total
2015,Venezuela (Bolivarian Republic of),VEN,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,42
2016,Venezuela (Bolivarian Republic of),VEN,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,394
2017,Venezuela (Bolivarian Republic of),VEN,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,4368
2018,Venezuela (Bolivarian Republic of),VEN,Mexico,120,218,131,1952,94,2515,148,218,163,2407,72,3008,52348
2019,Venezuela (Bolivarian Republic of),VEN,Mexico,167,331,215,3184,181,4078,201,329,258,3624,124,4536,70377
2020,Venezuela (Bolivarian Republic of),VEN,Mexico,129,287,155,2700,172,3443,152,283,217,3155,112,3919,102223
2021,Venezuela (Bolivarian Republic of),VEN,Mexico,347,1110,657,9953,880,12947,393,1058,774,10143,482,12850,88976
2022,Venezuela (Bolivarian Republic of),VEN,Mexico,507,1590,988,13263,1006,17354,551,1583,1204,17085,555,20978,205631
2023,Venezuela (Bolivarian Republic of),VEN,Mexico,228,1557,1180,13588,1233,17786,251,1606,1302,17727,683,21569,127025
2015,Cuba,CUB,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,160
2016,Cuba,CUB,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,167
2017,Cuba,CUB,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,313
2018,Cuba,CUB,Mexico,5,6,0,49,0,60,5,5,5,140,0,155,294
2019,Cuba,CUB,Mexico,58,61,53,2135,12,2319,45,90,48,4224,20,4427,7071
2020,Cuba,CUB,Mexico,63,82,59,2670,14,2888,49,103,67,5239,24,5482,10325
2021,Cuba,CUB,Mexico,95,173,93,4466,38,4865,74,179,129,8254,58,8694,27047
2022,Cuba,CUB,Mexico,293,501,298,9188,253,10533,268,504,393,15189,202,16556,98823
2023,Cuba,CUB,Mexico,373,880,550,13865,583,16251,369,840,689,21667,540,24105,41287
2015,Nicaragua,NIC,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,42
2016,Nicaragua,NIC,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,61
2017,Nicaragua,NIC,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,85
2018,Nicaragua,NIC,Mexico,31,52,19,259,10,371,33,41,31,592,6,703,1174
2019,Nicaragua,NIC,Mexico,71,97,46,584,15,813,67,91,79,1240,16,1493,2851
2020,Nicaragua,NIC,Mexico,71,97,42,604,13,827,67,88,73,1390,16,1634,3362
2021,Nicaragua,NIC,Mexico,154,246,120,1411,19,1950,164,227,176,2958,35,3560,28006
2022,Nicaragua,NIC,Mexico,312,502,282,3590,34,4720,324,481,367,6414,72,7658,63511
2023,Nicaragua,NIC,Mexico,189,448,281,3433,39,4390,182,494,328,5965,98,7067,11744
2015,Ecuador,ECU,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,8
2016,Ecuador,ECU,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,10
2017,Ecuador,ECU,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,18
2018,Ecuador,ECU,Mexico,0,0,0,8,0,8,0,0,0,6,0,6,14
2019,Ecuador,ECU,Mexico,0,9,0,20,0,29,10,5,0,30,5,50,85
2020,Ecuador,ECU,Mexico,8,10,0,26,0,44,18,5,5,53,6,87,150
2021,Ecuador,ECU,Mexico,35,32,5,59,0,131,49,28,5,122,5,209,340
2022,Ecuador,ECU,Mexico,90,74,36,305,0,505,106,50,42,706,8,912,1417
2023,Ecuador,ECU,Mexico,131,159,102,674,6,1072,118,152,105,1305,11,1691,4191
2015,Colombia,COL,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,332
2016,Colombia,COL,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,349
2017,Colombia,COL,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,421
2018,Colombia,COL,Mexico,8,6,9,63,0,86,6,0,10,84,0,100,497
2019,Colombia,COL,Mexico,16,28,15,209,8,276,18,17,27,284,6,352,979
2020,Colombia,COL,Mexico,18,28,21,307,11,385,24,18,36,429,7,514,1347
2021,Colombia,COL,Mexico,55,89,64,793,31,1032,78,71,65,1021,28,1263,6633
2022,Colombia,COL,Mexico,138,128,100,1251,38,1655,169,127,93,1915,42,2346,42427
2023,Colombia,COL,Mexico,160,178,124,1540,53,2055,188,191,102,2460,55,2996,6855
2015,Peru,PER,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,10
2016,Peru,PER,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,11
2017,Peru,PER,Mexico,0,0,0,0,0,0,0,0,0,0,0,0,11
2018,Peru,PER,Mexico,0,0,7,0,0,7,0,0,0,0,0,0,19
2019,Peru,PER,Mexico,5,0,0,7,0,12,5,0,0,7,0,12,40
2020,Peru,PER,Mexico,9,0,0,19,0,28,5,0,0,28,0,33,86
2021,Peru,PER,Mexico,22,10,6,39,5,82,26,5,5,55,5,96,178
2022,Peru,PER,Mexico,56,12,8,110,6,192,57,13,7,166,11,254,446
