p4_4,origin_country_code,age,destination_country_code,year,p4_9,p4_9c,year_return,cond_resid,doc_mig,ent,tam_loc,tpo_mig,fac_hog,sex,motive,category,status,socioeconomic_level,origin_country,destination_country
1,14,2,301,24,2,32,2021,2,1.0,14,1,,618,Female,Family reunification,Social,Returned,Upper-Middle,Mexico,United States
1,14,1,201,22,1,14,2023,2,1.0,14,2,,543,Male,Job search,Economic,Returned,Middle,Mexico,Guatemala
1,14,1,201,46,1,14,2020,2,1.0,14,2,,543,Male,Job search,Economic,Returned,Middle,Mexico,Guatemala
1,14,1,201,28,1,14,2021,2,2.0,14,2,,854,Male,Job search,Economic,Returned,Middle,Mexico,Guatemala
1,14,1,101,60,1,14,2023,1,1.0,14,2,7.0,771,Male,Job search,Economic,Established,Middle,Mexico,Mexico
1,14,2,301,23,1,14,2020,2,,14,2,,933,Female,Job search,Economic,Returned,Middle,Mexico,United States
1,14,1,101,48,1,14,2018,1,,14,2,13.0,538,Male,Job search,Economic,Established,Middle,Mexico,Mexico
1,14,1,301,27,1,14,2023,1,,14,2,6.0,538,Male,Job search,Economic,Established,Middle,Mexico,United States
1,221,2,301,17,1,14,2023,2,1.0,14,2,,712,Female,Job search,Economic,Returned,Middle,Mexico,United States
1,14,2,999,64,1,14,2023,1,1.0,14,2,1.0,588,Female,Job search,Economic,Established,Middle,Mexico,Other
1,221,2,201,25,1,14,2023,2,1.0,14,2,,681,Female,Job search,Economic,Returned,Middle,Mexico,Guatemala
1,14,1,101,57,1,14,2022,1,1.0,14,2,2.0,667,Male,Job search,Economic,Established,Middle,Mexico,Mexico
1,221,1,301,33,1,14,2022,2,1.0,14,2,,662,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,221,1,301,29,1,14,2022,2,1.0,14,2,,662,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,14,1,101,33,1,14,2023,2,1.0,14,2,,512,Male,Job search,Economic,Returned,Middle,Mexico,Mexico
1,14,1,301,16,1,14,2019,1,1.0,14,2,2.0,467,Male,Job search,Economic,Established,Middle,Mexico,United States
1,221,1,501,30,1,14,2021,2,2.0,14,2,,714,Male,Job search,Economic,Returned,Middle,Mexico,Colombia
1,16,1,101,44,1,14,2023,2,1.0,14,2,,714,Male,Job search,Economic,Returned,Middle,Mexico,Mexico
1,14,1,301,21,1,14,2019,2,1.0,14,2,,590,Male,Job search,Economic,Returned,Middle,Mexico,United States
1,14,2,201,60,1,14,2023,2,9.0,14,2,,590,Female,Job search,Economic,Returned,Middle,Mexico,Guatemala
1,9,2,301,60,1,14,2022,1,1.0,14,2,6.0,590,Female,Job search,Economic,Established,Middle,Mexico,United States
1,14,1,301,26,1,14,2019,2,1.0,14,3,,606,Male,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,14,1,301,35,1,14,2022,1,1.0,14,3,7.0,563,Male,Job search,Economic,Established,Lower-Middle,Mexico,United States
1,14,1,301,23,1,14,2023,2,1.0,14,3,,810,Male,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,14,2,301,999,1,14,2021,2,9.0,14,3,,810,Female,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,11,2,301,32,1,14,2019,2,,14,3,,652,Female,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,14,1,201,22,1,14,2021,2,2.0,14,3,,775,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Guatemala
1,221,1,101,28,1,14,2022,2,2.0,14,3,,775,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Mexico
1,14,1,201,28,1,14,2021,2,2.0,14,3,,775,Male,Job search,Economic,Returned,Lower-Middle,Mexico,Guatemala
1,14,1,301,23,1,14,2021,2,2.0,14,3,,775,Male,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,14,1,301,27,1,14,2022,2,2.0,14,3,,717,Male,Job search,Economic,Returned,Lower-Middle,Mexico,United States
1,14,1,101,72,1,14,2022,1,1.0,14,3,13.0,645,Male,Job search,Economic,Established,Lower-Middle,Mexico,Mexico
1,14,2,201,70,1,14,2022,1,1.0,14,3,13.0,645,Female,Job search,Economic,Established,Lower-Middle,Mexico,Guatemala
1,14,1,301,32,1,14,2021,1,1.0,14,3,23.0,645,Male,Job search,Economic,Established,Lower-Middle,Mexico,United States
1,14,2,201,48,1,14,2023,2,1.0,14,3,,517,Female,Job search,Economic,Returned,Lower-Middle,Mexico,Guatemala
1,14,1,101,18,1,14,2023,1,,14,3,1.0,676,Male,Job search,Economic,Established,Lower-Middle,Mexico,Mexico
1,14,1,301,31,1,14,2023,2,1.0,14,4,,943,Male,Job search,Economic,Returned,Low,Mexico,United States
1,14,1,301,27,1,14,2023,2,1.0,14,4,,943,Male,Job search,Economic,Returned,Low,Mexico,United States
1,14,2,403,51,1,14,2022,1,1.0,14,4,16.0,943,Female,Job search,Economic,Established,Low,Mexico,Dominican Republic
1,14,1,418,29,1,14,2023,2,1.0,14,4,,943,Male,Job search,Economic,Returned,Low,Mexico,Other Caribbean
1,14,2,301,18,1,14,2023,2,1.0,14,4,,943,Female,Job search,Economic,Returned,Low,Mexico,United States
1,14,1,301,17,1,14,2023,2,1.0,14,4,,943,Male,Job search,Economic,Returned,Low,Mexico,United States
1,14,1,301,35,1,14,2021,2,2.0,14,4,,934,Male,Job search,Economic,Returned,Low,Mexico,United States
1,14,1,418,37,1,14,2021,2,2.0,14,4,,934,Male,Job search,Economic,Returned,Low,Mexico,Other Caribbean
1,1,2,301,23,1,14,2021,2,1.0,14,4,,934,Female,Job search,Economic,Returned,Low,Mexico,United States
