Incident Type,Incident year,Reported Month,Region of Origin,Region of Incident,Country of Origin,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death,Migration route,UNSD Geographical Grouping
Incident,2014,January,Central America,North America,Guatemala,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,January,Northern Africa,Europe,Sudan,1.0,0,1,2,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",,Northern Europe
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,January,Unknown,Mediterranean,"Afghanistan,Syrian Arab Republic",12.0,0,12,0,9,0,3,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,January,Southern Asia,Europe,Iran (Islamic Republic of),1.0,0,1,2,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,January,Caribbean,Caribbean,Haiti,1.0,0,1,0,0,1,1,Drowning,Caribbean to US,Caribbean
Cumulative Incident,2014,February,South-eastern Asia,South-eastern Asia,Myanmar,5.0,0,5,500,0,5,0,Sickness / lack of access to adequate healthcare,,South-eastern Asia
Incident,2014,February,Unknown,Mediterranean,"Cameroon,Unknown",15.0,0,15,0,0,1,0,Violence,Western Mediterranean,Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,2.0,0,2,121,0,2,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Central America,North America,Mexico,1.0,0,1,2,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,February,Caribbean,Caribbean,Haiti,8.0,0,8,0,0,0,0,Drowning,Haiti to Dominican Republic,Caribbean
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,February,Southern Asia,Southern Asia,Bangladesh,1.0,0,1,0,0,1,0,Violence,,Southern Asia
Incident,2014,February,Eastern Africa,Eastern Africa,Ethiopia,11.0,6,17,0,0,0,0,Drowning,Horn of Africa to Yemen crossing,Uncategorized
Incident,2014,February,Eastern Africa,Mediterranean,Somalia,7.0,0,7,0,0,0,0,Violence,Central Mediterranean,Uncategorized
Incident,2014,March,Central America,North America,Guatemala,1.0,0,1,0,1,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,March,Europe,Europe,Albania,1.0,0,1,0,0,1,0,Violence,English Channel to the UK,Western Europe
Incident,2014,March,Southern Asia,South-eastern Asia,Cambodia,5.0,0,5,4,2,3,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,March,Southern Asia,South-eastern Asia,Myanmar,2.0,0,2,10,0,2,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,March,South America,Central America,Ecuador,1.0,0,1,0,1,0,1,Violence,US-Mexico border crossing,Central America
Incident,2014,March,Eastern Africa,Eastern Africa,"Ethiopia,Somalia",1.0,43,44,33,1,0,3,Drowning,Horn of Africa to Yemen crossing,Uncategorized
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1.0,0,1,0,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,March,Central America,North America,El Salvador,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1.0,0,1,0,0,1,0,Mixed or unknown,English Channel to the UK,Western Europe
Incident,2014,March,Eastern Africa,Europe,Ethiopia,1.0,0,1,2,0,1,0,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Unknown,Mediterranean,Unknown,1.0,0,1,0,0,0,0,Vehicle accident / death linked to hazardous transport,Central Mediterranean,Uncategorized
Incident,2014,March,Western Asia,Mediterranean,Syrian Arab Republic,7.0,2,9,8,1,1,1,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,March,Middle Africa,Eastern Africa,Congo,251.0,0,251,50,0,0,0,Drowning,,Eastern Africa
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Central America,Central America,Guatemala,1.0,0,1,0,1,0,0,Vehicle accident / death linked to hazardous transport,,Central America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,1,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,March,Central America,North America,El Salvador,1.0,0,1,0,0,1,0,Accidental death,US-Mexico border crossing,Northern America
Incident,2014,April,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Eastern Africa,Eastern Africa,Zimbabwe,17.0,0,17,0,0,0,0,Drowning,,Eastern Africa
Incident,2014,April,Unknown,Mediterranean,Unknown,1.0,0,1,661,0,0,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Split Incident,2014,April,Eastern Africa,Northern Africa,"Eritrea,Ethiopia,Sudan,Unknown",10.0,0,10,309,0,0,0,"Harsh environmental conditions / lack of adequate shelter, food, water",Sahara Desert crossing,Northern Africa
Incident,2014,April,Western Asia,Mediterranean,Syrian Arab Republic,8.0,1,9,5,2,0,1,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,April,Central America,Central America,"Honduras,Mexico",4.0,0,4,3,0,0,0,Violence,,Central America
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Eastern Asia,South-eastern Asia,China,5.0,0,5,0,0,0,0,Violence,,South-eastern Asia
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,April,Southern Asia,South-eastern Asia,Cambodia,7.0,0,7,7,2,5,0,Vehicle accident / death linked to hazardous transport,,South-eastern Asia
Incident,2014,April,Central America,North America,Mexico,1.0,0,1,0,0,1,0,Violence,US-Mexico border crossing,Northern America
Incident,2014,April,Central America,North America,Mexico,1.0,0,1,0,0,1,0,"Harsh environmental conditions / lack of adequate shelter, food, water",US-Mexico border crossing,Northern America
Incident,2014,April,Eastern Africa,Mediterranean,Somalia,0.0,40,40,1,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,April,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Caribbean,Caribbean,Unknown,6.0,3,9,16,0,0,0,Drowning,,Caribbean
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Eastern Africa,Mediterranean,"Eritrea,Ethiopia,Somalia",4.0,0,4,80,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,May,Eastern Africa,Europe,Eritrea,1.0,0,1,0,0,1,1,Vehicle accident / death linked to hazardous transport,English Channel to the UK,Western Europe
Incident,2014,May,Unknown,Mediterranean,Unknown,22.0,7,29,36,0,0,0,Drowning,Eastern Mediterranean,Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,0,0,Mixed or unknown,US-Mexico border crossing,Northern America
Incident,2014,May,Sub-Saharan Africa (P),Mediterranean,Unknown,44.0,33,77,53,0,0,0,Drowning,Central Mediterranean,Uncategorized
Incident,2014,May,Eastern Africa,Mediterranean,Eritrea,1.0,0,1,0,0,1,0,Mixed or unknown,Central Mediterranean,Uncategorized
Incident,2014,May,Latin America / Caribbean (P),North America,Unknown,1.0,0,1,0,0,1,0,Mixed or unknown,US-Mexico border crossing,Northern America
